region,year,co2_emissions_mt,renewable_pct
US,2020,800,25
ASIA,2018,800,60
US,2022,120,40
US,2023,120,60
ASIA,2023,800,25
ASIA,2019,800,60
ASIA,2021,120,60
ASIA,2023,800,10
US,2018,50,40
EU,2020,50,25
EU,2018,300,40
EU,2019,300,90
EU,2019,800,40
ASIA,2020,300,10
ASIA,2023,120,60
EU,2020,300,25
ASIA,2018,5000,10
US,2020,300,25
US,2019,120,10
EU,2022,120,25
ASIA,2022,120,40
EU,2022,120,25
EU,2020,120,60
US,2020,120,60
US,2019,300,40
US,2022,5000,40
,2023,50,10
EU,2021,800,60
ASIA,2019,800,25
US,2020,800,
ASIA,2018,800,90
ASIA,2021,50,25
ASIA,2018,120,60
ASIA,2019,300,
ASIA,2023,120,10
EU,2019,120,25
US,2021,120,25
ASIA,2021,120,10
ASIA,2022,120,40
,2023,50,
US,2023,800,10
EU,2018,,60
ASIA,2021,800,25
EU,2018,120,25
ASIA,2021,120,25
EU,2021,5000,25
US,2021,300,
ASIA,2023,120,25
EU,2022,800,10
US,2018,300,10
EU,2019,800,60
ASIA,2019,300,40
ASIA,2023,300,90
ASIA,2019,120,10
US,2021,5000,10
,2023,300,40
EU,2021,120,40
ASIA,2019,300,25
EU,2023,120,90
ASIA,2023,120,40
EU,2022,120,10
EU,2020,300,10
,2020,,25
EU,2023,800,25
,2021,120,40
ASIA,2018,5000,25
ASIA,2020,800,25
ASIA,2018,50,25
,2019,50,60
EU,2023,800,40
,2023,800,40
US,2018,800,25
EU,2019,50,
,2020,5000,60
EU,2023,800,40
US,2020,800,10
ASIA,2018,300,60
EU,2022,120,90
ASIA,2023,5000,
ASIA,2022,50,25
ASIA,2022,50,10
EU,2020,800,
ASIA,2022,300,10
ASIA,2019,120,60
EU,2022,800,25
,2023,300,25
,2018,300,25
US,2022,120,60
,2018,300,25
,2021,120,25
EU,2018,300,10
ASIA,2019,5000,40
,2022,120,40
ASIA,2020,800,40
EU,2023,300,40
US,2020,300,10
US,2020,50,60
US,2019,50,10
US,2022,800,90
EU,2018,50,60
EU,2023,50,60
US,2020,300,
US,2023,300,25
US,2021,300,10
,2022,120,25
EU,2023,120,10
US,2022,800,60
ASIA,2018,5000,10
ASIA,2018,800,10
EU,2019,,60
ASIA,2022,50,
EU,2020,120,40
,2020,,60
EU,2018,300,60
ASIA,2022,5000,10
US,2018,50,40
US,2020,,10
EU,2023,50,10
US,2020,120,40
EU,2018,800,25
ASIA,2023,120,
US,2023,50,60
US,2021,120,
US,2020,120,40
ASIA,2021,120,40
,2020,800,10
US,2023,50,25
US,2019,50,60
ASIA,2019,800,40
US,2020,50,10
US,2022,50,60
EU,2023,50,10
US,2019,800,40
EU,2023,5000,40
ASIA,2021,800,40
ASIA,2019,800,25
ASIA,2018,800,60
ASIA,2023,120,60
EU,2018,50,60
EU,2020,50,40
EU,2018,120,
US,2019,800,60
EU,2023,800,90
EU,2020,50,40
,2021,120,25
US,2018,50,60
EU,2018,300,10
US,2021,50,40
ASIA,2023,120,25
US,2019,120,40
EU,2020,800,25
US,2018,120,
EU,2021,120,10
ASIA,2018,120,90
,2021,300,10
EU,2022,300,60
US,2020,50,40
ASIA,2022,300,25
ASIA,2020,50,10
EU,2020,5000,
EU,2019,300,
US,2022,120,90
EU,2021,300,60
ASIA,2018,300,40
US,2018,300,25
US,2023,300,40
ASIA,2019,50,10
EU,2019,50,10
US,2018,300,40
US,2018,800,10
EU,2018,50,25
ASIA,2018,120,60
ASIA,2020,120,25
EU,2023,50,25
US,2019,50,25
US,2019,800,60
,2018,120,25
ASIA,2023,50,60
,2018,,25
ASIA,2023,50,25
ASIA,2021,300,40
US,2022,120,60
ASIA,2018,800,10
US,2021,5000,25
ASIA,2018,800,
ASIA,2019,120,60
US,2019,50,40
EU,2023,120,40
ASIA,2023,120,40
ASIA,2018,300,
ASIA,2019,,10
EU,2023,800,60
EU,2022,120,10
US,2022,50,10
ASIA,2019,50,40
EU,2021,120,25
ASIA,2020,120,60
,2018,300,10
EU,2020,,25
ASIA,2018,50,40
US,2023,300,25
EU,2023,5000,40
EU,2022,300,60
US,2018,50,60
EU,2018,300,60
ASIA,2021,120,10
US,2019,50,60
US,2020,800,25
ASIA,2023,,25
,2022,120,25
US,2018,50,90
US,2022,50,60
ASIA,2022,5000,25
US,2019,800,25
ASIA,2020,50,90
EU,2018,120,10
EU,2023,50,25
EU,2023,800,40
EU,2021,300,10
EU,2022,120,60
,2018,120,60
ASIA,2021,120,25
US,2022,800,10
,2021,120,25
ASIA,2019,300,60
ASIA,2018,50,
EU,2023,300,40
EU,2021,800,40
ASIA,2022,120,40
ASIA,2021,5000,25
EU,2020,800,
US,2022,50,90
EU,2018,50,60
EU,2018,800,40
US,2018,120,60
,2018,120,25
,2022,120,10
US,2020,120,25
EU,2022,120,60
EU,2020,800,25
ASIA,2022,,60
,2018,,60
EU,2019,50,25
ASIA,2021,5000,25
ASIA,2023,300,60
EU,2021,120,25
,2019,300,90
US,2020,800,40
ASIA,2021,50,
ASIA,2020,300,10
ASIA,2022,50,60
ASIA,2020,50,
ASIA,2021,120,10
US,2021,800,25
US,2023,800,40
,2021,50,40
EU,2019,120,10
US,2021,,25
EU,2023,300,25
US,2021,120,10
US,2023,50,25
EU,2022,50,40
US,2018,800,40
ASIA,2018,300,25
US,2023,800,40
ASIA,2018,120,60
US,2019,120,25
US,2022,800,10
ASIA,2019,300,10
US,2022,120,60
US,2019,120,40
EU,2019,800,90
,2021,120,40
EU,2022,120,40
US,2023,50,25
US,2018,800,10
,2021,50,25
US,2021,800,10
EU,2019,,25
ASIA,2019,,60
,2023,50,25
US,2021,120,60
,2018,300,40
US,2019,300,60
ASIA,2018,300,60
EU,2021,300,40
ASIA,2021,120,25
ASIA,2022,800,25
EU,2018,120,90
ASIA,2018,800,60
US,2021,800,10
US,2020,800,40
EU,2020,5000,25
ASIA,2022,800,40
US,2022,800,60
US,2023,800,25
EU,2019,50,40
EU,2018,300,40
EU,2018,120,25
ASIA,2021,5000,90
EU,2022,120,10
EU,2022,800,90
US,2022,120,10
EU,2021,50,60
US,2021,50,25
US,2020,120,40
ASIA,2020,300,40
US,2022,,25
EU,2018,800,25
,2023,50,
EU,2018,50,25
ASIA,2021,50,40
ASIA,2021,50,10
US,2023,,40
ASIA,2018,120,60
ASIA,2020,50,10
US,2023,5000,40
US,2022,120,60
EU,2020,120,
ASIA,2021,50,10
,2019,50,60
EU,2021,300,90
US,2020,120,10
ASIA,2023,800,
ASIA,2018,300,10
ASIA,2018,120,25
ASIA,2018,300,60
ASIA,2022,120,60
ASIA,2019,120,25
EU,2022,120,25
US,2019,50,25
ASIA,2023,120,40
US,2018,50,60
EU,2021,5000,40
US,2023,120,60
US,2021,300,
EU,2019,50,40
ASIA,2020,300,60
ASIA,2018,120,90
EU,2020,120,60
EU,2019,800,40
EU,2021,120,40
US,2021,5000,25
,2019,50,60
US,2023,120,25
,2021,50,25
EU,2021,50,60
EU,2019,120,
US,2018,800,60
EU,2019,50,10
EU,2021,300,40
ASIA,2018,50,40
US,2019,50,40
ASIA,2019,50,90
EU,2020,120,
EU,2022,50,60
ASIA,2019,,40
US,2023,50,25
EU,2022,300,25
US,2023,300,10
EU,2018,300,40
EU,2023,5000,60
US,2020,300,10
EU,2019,120,40
EU,2019,120,25
EU,2018,800,40
EU,2022,300,90
US,2020,50,40
EU,2019,300,60
US,2019,300,40
US,2022,50,40
EU,2021,300,40
EU,2021,120,40
EU,2018,800,25
,2023,120,60
US,2023,5000,10
US,2019,800,25
ASIA,2022,50,25
ASIA,2022,800,40
ASIA,2022,800,40
ASIA,2019,50,60
US,2019,800,40
EU,2022,50,25
ASIA,2021,800,10
US,2019,800,60
ASIA,2018,300,60
EU,2018,300,25
ASIA,2019,,25
EU,2018,120,10
US,2022,120,10
US,2020,50,10
EU,2021,800,40
ASIA,2020,,25
ASIA,2018,120,25
EU,2020,50,10
ASIA,2018,300,40
,2021,300,60
US,2020,300,10
US,2022,300,
ASIA,2022,120,40
US,2020,120,25
US,2018,,10
ASIA,2020,120,90
EU,2021,120,25
ASIA,2020,800,40
US,2020,120,40
US,2019,50,40
EU,2023,800,60
ASIA,2023,300,25
EU,2020,120,10
US,2023,300,60
US,2020,300,40
EU,2023,120,60
ASIA,2023,5000,40
US,2022,120,60
EU,2021,800,25
ASIA,2018,50,10
ASIA,2021,800,10
,2022,800,10
ASIA,2023,120,90
US,2018,300,10
ASIA,2021,300,25
US,2023,120,40
US,2019,300,90
US,2020,300,60
US,2020,800,25
,2020,300,40
US,2021,120,25
US,2021,300,60
US,2020,800,60
US,2021,5000,60
EU,2023,5000,60
,2019,120,40
ASIA,2019,800,25
US,2021,300,10
US,2022,300,40
ASIA,2022,120,25
US,2018,800,25
EU,2021,300,25
US,2022,120,60
US,2020,800,10
ASIA,2022,800,40
ASIA,2021,50,60
ASIA,2023,120,
ASIA,2020,50,40
US,2020,50,10
EU,2018,120,10
,2023,120,
ASIA,2022,300,25
US,2021,,10
ASIA,2018,120,40
ASIA,2023,50,40
US,2020,800,40
US,2020,800,10
,2019,300,60
EU,2018,300,60
EU,2020,120,40
,2020,120,
ASIA,2022,50,60
EU,2020,5000,60
US,2018,50,40
ASIA,2023,,60
ASIA,2019,50,25
ASIA,2019,50,60
US,2020,300,10
ASIA,2020,,60
ASIA,2023,50,25
EU,2023,300,40
EU,2022,120,25
EU,2021,120,60
,2020,800,40
US,2022,5000,40
ASIA,2019,120,25
,2018,800,60
EU,2021,120,60
EU,2021,,10
EU,2021,300,60
,2018,800,10
ASIA,2022,300,60
EU,2018,120,40
EU,2021,120,90
EU,2019,800,90
,2020,300,40
US,2019,5000,40
ASIA,2021,120,60
ASIA,2019,50,25
,2018,300,25
US,2023,120,40
EU,2019,50,
US,2023,300,40
ASIA,2022,120,10
,2022,50,40
US,2022,800,10
US,2021,50,40
ASIA,2020,800,25
US,2019,800,10
EU,2020,800,25
EU,2021,300,10
US,2020,300,40
EU,2021,800,
ASIA,2022,5000,25
ASIA,2022,120,60
,2021,50,25
ASIA,2021,800,40
US,2022,5000,10
EU,2019,800,40
EU,2022,120,25
ASIA,2018,800,60
ASIA,2020,300,25
EU,2021,50,60
US,2020,300,25
ASIA,2023,120,60
ASIA,2019,300,10
ASIA,2022,800,60
,2023,800,10
US,2023,300,25
ASIA,2021,300,60
EU,2023,50,90
ASIA,2022,50,60
US,2023,50,40
EU,2018,300,40
EU,2023,50,60
ASIA,2022,120,25
EU,2018,50,
US,2022,120,90
US,2022,120,90
ASIA,2022,50,90
EU,2022,300,40
EU,2020,120,
EU,2021,800,10
ASIA,2020,50,25
EU,2020,50,60
US,2021,800,40
US,2018,300,
US,2019,,10
US,2019,300,25
US,2020,800,60
EU,2021,50,25
US,2020,300,60
US,2019,300,10
EU,2019,300,40
US,2023,120,90
US,2022,800,10
EU,2020,50,60
EU,2020,800,60
US,2023,50,60
ASIA,2021,5000,40
ASIA,2022,120,25
US,2019,50,10
EU,2022,50,60
ASIA,2023,120,10
,2022,,10
EU,2018,5000,90
US,2019,120,40
EU,2020,300,40
US,2022,120,10
EU,2019,120,25
,2019,,40
US,2022,50,10
ASIA,2021,800,40
US,2021,300,10
US,2023,5000,10
EU,2023,120,60
ASIA,2022,50,60
EU,2018,800,25
EU,2020,800,25
US,2020,50,10
EU,2023,800,25
US,2020,50,40
EU,2018,120,25
,2022,,10
ASIA,2020,50,25
EU,2018,120,90
ASIA,2019,800,25
EU,2023,800,25
US,2023,800,40
ASIA,2023,50,25
EU,2021,5000,25
EU,2021,300,10
ASIA,2020,300,40
ASIA,2020,800,10
,2021,800,10
EU,2020,300,40
EU,2022,300,25
EU,2021,800,40
US,2022,300,10
EU,2019,50,60
ASIA,2018,800,10
EU,2021,800,25
US,2023,120,40
US,2022,,40
EU,2019,120,25
ASIA,2022,800,40
,2019,300,10
US,2018,50,10
US,2022,50,25
US,2018,50,
,2019,,60
ASIA,2022,800,25
,2022,800,90
US,2022,120,40
US,2019,120,10
EU,2018,50,25
EU,2018,800,10
,2019,50,60
US,2021,300,40
US,2018,800,40
EU,2021,50,40
,2023,800,10
EU,2023,800,40
ASIA,2023,120,
US,2022,50,40
ASIA,2019,300,90
ASIA,2023,50,
ASIA,2019,120,10
US,2023,800,25
US,2019,,60
ASIA,2021,800,40
EU,2019,,
EU,2023,50,60
ASIA,2020,,25
ASIA,2018,300,40
ASIA,2022,50,60
EU,2018,5000,40
ASIA,2018,50,
,2023,120,25
US,2023,50,60
US,2020,120,60
US,2021,50,
ASIA,2022,300,25
EU,2022,800,25
EU,2021,50,40
,2018,50,60
US,2020,800,60
US,2021,50,60
US,2018,800,
EU,2021,120,60
EU,2020,800,10
EU,2018,300,40
ASIA,2021,300,60
ASIA,2021,,40
,2023,800,25
,2019,,25
EU,2021,50,25
EU,2020,300,40
ASIA,2022,120,25
EU,2023,5000,90
,2023,120,25
US,2021,120,10
US,2019,50,25
US,2023,50,10
US,2021,800,60
US,2018,300,90
EU,2020,300,25
,2020,50,40
ASIA,2023,800,25
ASIA,2020,300,25
,2021,800,40
ASIA,2022,120,10
,2021,800,
ASIA,2018,120,10
US,2018,,25
EU,2019,800,10
US,2020,120,10
US,2021,120,40
ASIA,2023,800,10
ASIA,2019,800,40
ASIA,2019,120,40
EU,2021,120,60
EU,2018,800,40
ASIA,2018,800,25
ASIA,2018,50,60
US,2018,300,60
EU,2019,300,60
EU,2023,800,25
EU,2022,50,40
,2023,120,60
US,2022,300,40
US,2022,120,25
ASIA,2022,120,10
EU,2018,800,
US,2021,800,10
US,2023,5000,25
US,2019,50,10
EU,2020,120,25
US,2020,120,10
EU,2022,50,10
US,2022,5000,60
US,2021,50,25
EU,2020,800,40
,2018,800,25
ASIA,2020,800,10
,2022,300,60
,2021,50,10
EU,2018,50,25
EU,2020,800,60
,2018,,60
US,2021,,25
ASIA,2019,120,60
ASIA,2023,300,25
US,2019,50,60
US,2019,300,10
EU,2019,300,10
EU,2021,800,25
EU,2022,50,40
EU,2023,50,40
EU,2019,800,40
ASIA,2018,120,10
US,2019,800,40
ASIA,2021,300,40
EU,2018,120,25
EU,2021,800,60
US,2020,5000,10
EU,2019,120,40
ASIA,2023,120,60
US,2021,800,10
EU,2021,300,
ASIA,2019,800,40
EU,2021,50,25
ASIA,2021,300,25
US,2022,800,40
EU,2021,50,60
ASIA,2021,120,10
ASIA,2018,120,60
EU,2019,800,
US,2018,800,10
US,2022,800,40
ASIA,2020,300,60
EU,2022,120,25
US,2022,300,60
,2018,120,10
EU,2022,800,40
ASIA,2019,300,10
US,2020,800,10
US,2019,50,25
EU,2022,120,10
US,2021,50,25
US,2018,120,90
,2021,800,60
ASIA,2023,300,60
,2019,50,60
,2019,120,40
US,2023,120,60
ASIA,2022,300,25
ASIA,2018,300,10
EU,2018,800,25
ASIA,2019,50,25
US,2018,300,40
EU,2018,120,10
ASIA,2021,120,60
ASIA,2023,800,
ASIA,2022,800,25
EU,2022,120,10
,2021,5000,60
US,2019,300,40
ASIA,2019,120,40
EU,2023,300,10
ASIA,2018,120,90
EU,2023,50,25
US,2022,50,60
ASIA,2019,300,10
US,2018,300,25
ASIA,2021,300,90
US,2018,300,40
EU,2019,120,60
EU,2019,300,25
EU,2018,50,90
US,2020,120,10
,2021,300,40
US,2022,50,
ASIA,2019,5000,25
ASIA,2021,800,25
ASIA,2021,800,60
ASIA,2019,800,10
EU,2022,800,10
ASIA,2023,120,25
US,2023,800,25
,2023,120,40
EU,2018,50,60
EU,2021,5000,
EU,2022,120,25
ASIA,2021,50,60
EU,2020,50,60
US,2019,300,25
US,2020,120,60
US,2018,300,10
EU,2020,800,25
ASIA,2022,5000,40
US,2019,120,
EU,2018,300,25
US,2020,800,10
EU,2020,,25
ASIA,2023,120,10
EU,2019,120,25
ASIA,2022,300,40
EU,2021,50,10
US,2021,300,25
EU,2022,120,25
US,2019,120,25
US,2022,50,40
US,2018,800,10
US,2021,300,60
ASIA,2022,300,
EU,2019,,60
US,2022,,10
EU,2021,50,60
EU,2023,120,60
ASIA,2018,120,40
,2019,120,40
,2019,300,25
,2021,300,40
EU,2020,800,40
ASIA,2023,800,25
EU,2021,50,40
ASIA,2021,300,10
ASIA,2021,300,60
US,2018,300,25
,2019,120,60
US,2022,50,10
US,2018,50,90
US,2021,50,90
ASIA,2022,120,40
US,2022,800,60
US,2018,300,25
US,2021,50,25
ASIA,2020,300,40
EU,2023,5000,10
ASIA,2023,50,25
EU,2019,120,40
EU,2023,300,40
EU,2022,120,10
US,2019,800,25
,2021,300,25
EU,2018,800,10
EU,2023,800,25
US,2023,800,10
EU,2021,50,25
US,2020,120,10
US,2023,800,25
EU,2022,800,60
ASIA,2020,50,10
US,2020,,10
US,2020,800,10
EU,2018,800,60
,2022,300,40
EU,2021,300,60
US,2019,800,10
EU,2018,120,40
EU,2019,50,25
EU,2022,300,90
US,2018,300,40
EU,2018,120,10
US,2020,50,25
US,2022,5000,60
EU,2022,5000,90
ASIA,2021,300,40
EU,2022,120,25
US,2023,800,10
ASIA,2020,120,60
ASIA,2021,800,10
EU,2023,300,90
EU,2018,120,10
EU,2021,,10
EU,2023,50,10
US,2020,120,60
,2020,120,40
US,2023,300,25
ASIA,2019,50,10
EU,2022,300,60
,2019,5000,25
US,2021,300,40
EU,2021,800,40
EU,2021,5000,25
EU,2018,300,
EU,2018,300,40
,2019,50,10
ASIA,2018,300,25
EU,2021,800,25
ASIA,2021,,40
US,2023,120,90
EU,2023,,25
,2019,50,40
EU,2019,,25
US,2021,300,25
US,2019,800,10
US,2018,300,25
,2022,120,60
ASIA,2019,800,60
EU,2018,300,10
ASIA,2023,120,60
US,2022,800,25
EU,2020,300,
US,2019,120,10
EU,2018,120,60
ASIA,2022,120,40
EU,2021,800,40
EU,2022,50,40
ASIA,2023,5000,10
EU,2019,120,60
ASIA,2019,300,10
ASIA,2021,50,10
ASIA,2019,120,25
,2020,300,40
EU,2021,120,60
US,2022,120,25
ASIA,2021,,10
EU,2018,50,25
,2018,120,60
ASIA,2021,800,60
ASIA,2021,120,40
US,2019,800,25
US,2022,300,10
EU,2022,50,10
EU,2022,300,25
EU,2022,300,40
EU,2019,50,40
ASIA,2018,50,25
EU,2019,300,60
,2021,800,40
EU,2020,300,60
US,2021,120,25
ASIA,2019,800,10
ASIA,2019,300,60
US,2021,50,
ASIA,2022,800,40
US,2021,120,60
EU,2021,50,40
,2023,50,40
ASIA,2019,50,60
ASIA,2020,120,40
EU,2018,50,60
US,2019,300,25
EU,2019,120,60
EU,2022,120,40
,2018,50,40
US,2023,300,
EU,2022,800,60
ASIA,2019,800,90
US,2021,300,40
ASIA,2023,300,
EU,2020,300,10
US,2019,5000,60
US,2022,300,10
EU,2019,300,60
EU,2022,50,25
ASIA,2021,800,10
ASIA,2018,50,90
US,2022,50,40
EU,2022,300,10
ASIA,2019,,40
US,2018,120,40
EU,2021,300,40
ASIA,2022,,40
ASIA,2020,5000,40
,2022,800,90
ASIA,2019,50,25
EU,2018,5000,10
US,2018,300,25
EU,2019,120,10
EU,2022,120,40
US,2021,800,25
EU,2020,120,40
EU,2023,50,60
ASIA,2020,300,25
,2023,800,40
ASIA,2021,120,
EU,2019,50,25
EU,2023,800,25
EU,2019,50,60
US,2021,120,90
,2023,,10
EU,2019,50,10
ASIA,2023,800,60
US,2018,120,25
US,2021,50,25
ASIA,2020,300,10
US,2018,120,90
US,2021,50,60
ASIA,2022,50,60
EU,2023,120,25
EU,2019,50,60
US,2023,300,40
US,2021,50,25
US,2021,300,25
EU,2018,50,10
ASIA,2018,300,60
US,2020,50,25
US,2018,50,60
ASIA,2023,120,10
ASIA,2019,120,25
ASIA,2023,120,10
,2023,300,60
EU,2018,800,
US,2023,120,90
ASIA,2021,800,40
,2019,50,25
EU,2019,50,10
ASIA,2021,120,40
EU,2019,50,90
US,2021,50,40
ASIA,2021,50,10
ASIA,2018,120,60
EU,2023,300,40
EU,2023,120,40
,2020,120,25
US,2021,120,
US,2023,120,10
EU,2023,800,25
US,2018,800,40
EU,2022,120,25
EU,2020,,25
EU,2018,50,25
US,2021,5000,25
US,2020,,40
US,2021,120,40
US,2022,800,10
US,2022,5000,10
ASIA,2022,120,25
,2023,800,25
ASIA,2018,,10
EU,2021,800,40
ASIA,2018,120,25
ASIA,2020,300,60
US,2022,50,25
US,2021,120,10
ASIA,2020,50,60
ASIA,2021,,40
ASIA,2018,50,10
EU,2021,300,40
EU,2019,5000,25
ASIA,2021,120,40
US,2019,120,90
EU,2022,800,25
EU,2022,,25
EU,2022,,60
ASIA,2023,50,10
US,2023,120,
ASIA,2018,800,10
EU,2018,50,10
ASIA,2021,50,
EU,2019,300,
ASIA,2021,800,10
EU,2018,800,
EU,2022,300,25
ASIA,2019,800,10
US,2020,50,40
US,2019,,60
EU,2018,800,25
EU,2021,800,90
US,2020,800,40
EU,2019,300,25
US,2018,120,60
EU,2020,50,60
US,2019,800,25
EU,2023,800,60
US,2021,50,40
ASIA,2018,800,25
ASIA,2021,120,25
ASIA,2023,50,10
EU,2019,120,40
US,2020,120,60
ASIA,2021,50,10
ASIA,2020,120,25
EU,2021,50,25
EU,2018,120,60
US,2023,300,60
US,2018,50,60
EU,2020,800,90
EU,2020,50,25
US,2021,300,40
ASIA,2021,800,40
EU,2018,50,10
ASIA,2020,50,10
ASIA,2022,120,60
EU,2020,120,10
ASIA,2021,300,60
EU,2022,300,25
US,2023,,10
EU,2023,800,25
US,2023,300,40
EU,2019,300,40
ASIA,2022,300,10
ASIA,2022,800,40
US,2020,800,40
US,2018,50,25
,2022,300,40
EU,2021,50,25
US,2021,50,60
US,2023,300,40
ASIA,2021,,10
EU,2022,120,25
US,2018,50,40
EU,2022,50,40
ASIA,2022,300,90
ASIA,2023,50,60
ASIA,2022,120,10
US,2020,800,60
EU,2023,300,60
ASIA,2020,50,25
EU,2021,800,25
EU,2018,5000,60
EU,2018,300,25
US,2022,800,25
ASIA,2018,800,40
,2019,120,10
US,2022,800,25
EU,2019,800,25
ASIA,2019,120,60
EU,2018,120,25
EU,2023,120,90
EU,2023,50,40
ASIA,2019,800,40
US,2018,300,40
ASIA,2023,50,10
US,2022,800,90
US,2020,120,10
ASIA,2022,300,10
EU,2022,5000,
EU,2019,120,25
,2018,300,25
ASIA,2018,50,60
US,2018,800,40
ASIA,2020,800,40
ASIA,2020,300,60
ASIA,2019,300,10
US,2018,800,10
ASIA,2023,300,10
EU,2020,,25
US,2018,50,25
ASIA,2021,50,60
,2020,120,25
EU,2019,5000,25
EU,2022,800,40
EU,2018,300,40
US,2023,50,25
US,2018,800,10
EU,2020,300,10
US,2019,5000,
EU,2019,50,60
ASIA,2019,120,25
EU,2018,50,25
,2019,5000,10
EU,2018,800,25
ASIA,2020,120,90
ASIA,2019,120,25
ASIA,2018,300,25
US,2022,120,10
US,2022,50,25
ASIA,2022,,25
EU,2018,50,60
US,2020,800,90
US,2022,50,60
EU,2019,120,25
ASIA,2022,50,25
US,2018,,90
US,2022,120,25
ASIA,2018,50,10
ASIA,2021,300,40
EU,2018,120,60
EU,2020,50,60
EU,2019,300,25
,2023,120,25
US,2023,800,25
ASIA,2018,50,60
EU,2021,50,25
,2022,5000,25
EU,2020,50,
ASIA,2020,800,60
EU,2018,50,10
ASIA,2023,,60
US,2021,50,10
ASIA,2019,120,40
US,2022,50,10
EU,2019,800,60
US,2020,120,60
EU,2023,50,40
ASIA,2019,800,60
US,2019,800,60
EU,2023,300,
US,2022,120,90
US,2023,800,40
EU,2019,,10
US,2020,5000,25
ASIA,2022,,60
US,2018,800,40
,2021,300,40
ASIA,2020,300,40
ASIA,2023,50,25
EU,2020,50,40
US,2020,800,60
EU,2023,300,60
EU,2018,800,60
US,2023,800,25
US,2022,300,25
US,2022,300,90
US,2021,50,25
US,2021,120,60
,2019,50,25
US,2022,300,10
,2023,120,60
,2019,800,40
ASIA,2019,800,40
,2019,50,40
,2019,50,25
ASIA,2018,300,60
ASIA,2019,300,25
EU,2023,800,25
EU,2019,50,25
EU,2020,,60
EU,2018,50,
US,2023,800,10
US,2019,50,
ASIA,2018,300,60
US,2018,50,60
ASIA,2018,300,40
US,2022,50,90
EU,2018,800,40
ASIA,2021,300,40
EU,2021,120,10
US,2020,800,25
EU,2022,800,10
ASIA,2020,800,10
EU,2018,50,60
EU,2020,120,10
ASIA,2022,120,40
US,2019,800,40
ASIA,2022,300,60
EU,2023,5000,10
ASIA,2022,120,90
EU,2019,800,
,2018,,40
,2020,,10
ASIA,2022,50,60
US,2018,120,40
ASIA,2019,300,10
,2022,5000,60
ASIA,2020,,25
ASIA,2020,300,60
EU,2019,50,25
EU,2021,120,25
ASIA,2019,50,25
US,2021,120,25
US,2020,50,60
EU,2019,,10
US,2022,300,
ASIA,2022,120,60
US,2020,300,25
,2020,120,40
EU,2022,50,25
US,2019,300,10
ASIA,2018,120,40
ASIA,2019,50,10
ASIA,2023,120,25
ASIA,2019,300,90
ASIA,2021,120,25
EU,2021,50,40
EU,2022,50,40
EU,2022,,25
EU,2018,300,60
ASIA,2020,120,25
US,2023,800,90
ASIA,2021,800,10
US,2021,5000,25
US,2023,50,10
EU,2018,120,90
ASIA,2022,800,25
ASIA,2018,,25
ASIA,2023,800,
,2020,5000,60
US,2020,5000,40
US,2020,120,10
US,2020,50,90
US,2019,,
US,2021,120,40
ASIA,2021,300,10
US,2019,800,40
EU,2019,5000,10
ASIA,2023,300,60
EU,2021,50,60
EU,2021,800,40
US,2020,300,10
ASIA,2023,120,10
EU,2020,50,10
ASIA,2019,120,25
US,2018,50,40
ASIA,2023,120,10
EU,2023,120,40
,2019,50,60
ASIA,2020,800,40
EU,2018,50,
ASIA,2022,50,25
US,2023,50,10
ASIA,2018,300,40
ASIA,2019,800,25
,2022,300,10
,2022,50,10
ASIA,2021,800,40
ASIA,2023,300,90
EU,2020,,10
ASIA,2023,800,40
ASIA,2022,120,40
,2020,,60
ASIA,2020,120,10
ASIA,2018,120,60
ASIA,2023,5000,90
ASIA,2019,300,40
US,2018,800,90
,2021,800,40
US,2020,50,40
EU,2019,50,40
EU,2020,120,40
US,2020,800,10
US,2022,120,40
US,2019,50,
EU,2022,5000,40
US,2019,800,25
,2022,50,90
ASIA,2023,50,25
ASIA,2022,50,40
US,2023,120,10
ASIA,2022,120,40
EU,2018,300,60
ASIA,2020,300,25
ASIA,2022,,40
US,2020,5000,10
US,2018,,90
EU,2021,300,25
EU,2018,800,40
US,2023,50,25
US,2021,50,60
US,2021,,10
US,2020,120,
ASIA,2018,5000,40
EU,2021,120,40
ASIA,2021,5000,60
US,2023,120,40
EU,2020,800,40
ASIA,2022,300,40
US,2018,120,60
EU,2018,800,25
ASIA,2019,50,25
EU,2021,120,60
US,2023,50,25
ASIA,2018,5000,10
ASIA,2022,800,25
ASIA,2021,120,60
ASIA,2021,120,25
ASIA,2022,300,40
EU,2019,800,90
US,2020,,25
US,2018,300,40
EU,2019,50,25
US,2023,120,60
ASIA,2022,300,40
US,2022,50,
US,2018,50,25
US,2023,120,60
US,2020,120,60
ASIA,2018,50,60
ASIA,2021,120,10
EU,2022,300,10
EU,2023,800,10
US,2021,800,90
ASIA,2020,300,60
,2018,300,40
US,2018,800,60
ASIA,2019,5000,40
US,2021,120,25
,2019,120,40
US,2023,800,25
,2018,120,90
US,2020,800,10
US,2018,120,10
ASIA,2020,50,90
US,2019,50,90
ASIA,2019,,40
US,2022,50,60
US,2021,120,60
US,2021,800,
,2022,120,90
EU,2022,800,60
EU,2023,800,60
,2019,800,25
EU,2021,,25
EU,2018,5000,60
US,2021,300,90
ASIA,2020,120,25
,2023,120,40
EU,2020,300,60
EU,2019,50,40
,2020,120,25
US,2019,300,40
ASIA,2019,120,40
US,2021,50,60
